participant;sound;duration;Td;K6;Rd;A2;V2
MZ078;CEGis;1300;1300;0P;1955;DI;DI
MG082;CEGis;1300;1300;0P;1383;DI;DI
KS119;CEGis;1300;1300;0P;1486;DI;DI
MF088;CEGis;1300;1300;0P;2037;DI;DI
KM066;CEGis;1300;1300;0P;1599;DI;DI
KK105;CEGis;1300;1300;0P;2429;DI;DI
DO084;CEGis;1300;1300;0P;3086;DI;DI
AG111;CEGis;1300;1300;0P;1271;DI;DI
PP102;CEGis;1300;1300;0P;925;DI;DI
AS099;CEGis;1300;1300;0P;4004;DI;DI
TR072;CEGis;1300;1300;0P;1491;DI;DI
AK070;CEGis;1300;1300;0P;1488;DI;DI
MG097;CEGis;1300;1300;0P;1955;DI;DI
IK053;CEGis;1300;1300;0P;2342;DI;DI
KP101;CEGis;1300;1300;0P;4538;DI;DI
PC077;CEGis;1300;1300;0P;1489;DI;DI
AP089;CEGis;1300;1300;0P;1682;DI;DI
AS093;CEGis;1300;1300;0P;2134;DI;DI
DK117;CEGis;1300;1300;0P;2976;DI;DI
GN042;CEGis;1300;1300;0P;2969;DI;DI
MG097;CEGis;1300;1300;0P;2039;DI;DI
PC077;CEGis;1300;1300;0P;2899;DI;DI
AB107;CEGis;1300;1300;0P;1495;DI;DI
AB123;CEGis;1300;1300;0P;3532;DI;DI
AB107;CEGis;1300;1300;0P;1405;DI;DI
MZ078;CEGis;1300;1300;0P;694;DI;DI
MZ078;CEGis;1300;1300;0P;1602;DI;DI
AS093;CEGis;1300;1300;0P;2249;DI;DI
MM058;CEGis;1300;1300;0P;1104;DI;DI
JK076;CEGis;1300;1300;0P;1602;DI;DI
AW075;CEGis;1300;1300;0P;1109;DI;DI
KP104;CEGis;1300;1300;0P;1277;DI;DI
KS119;CEGis;1300;1300;0P;1593;DI;DI
SM045;CEGis;1300;1300;0P;2242;DI;DI
GN042;CEGis;1300;1300;0P;3070;DI;DI
MG097;CEGis;1300;1300;0P;1690;DI;DI
TK090;CEGis;1300;1300;0P;1595;DI;DI
MG082;CEGis;1300;1300;0P;1036;DI;DI
PP102;CEGis;1300;1300;0P;2430;DI;DI
DO084;CEGis;1300;1300;0P;2038;DI;DI
KG067;CEGis;1300;1300;0P;1484;DI;DI
KG067;CEGis;1300;1300;0P;1492;DI;DI
AG122;CEGis;1300;1300;0P;1856;DI;DI
PC077;CEGis;1300;1300;0P;2241;DI;DI
KK105;CEGis;1300;1300;0P;1597;DI;DI
AB121;CEGis;1300;1300;0P;2238;DI;DI
AB123;CEGis;1300;1300;0P;5828;DI;DI
JK076;CEGis;1300;1300;0P;1290;DI;DI
WS113;CEGis;1300;1300;0P;2038;DI;DI
OB120;CEGis;1300;1300;0P;1680;DI;DI
PC077;CEGis;1300;1300;0P;1951;DI;DI
PW112;CEGis;1300;1300;0P;2606;DI;DI
BG073;CEGis;1300;1300;0P;1959;DI;DI
TK090;CEGis;1300;1300;0P;2052;DI;DI
DJ083;CEGis;1300;1300;0P;1964;DI;DI
AG080;CEGis;1300;1300;0P;1599;DI;DI
PW112;CEGis;1300;1300;0P;1674;DI;DI
ED100;CEGis;1300;1300;0P;825;DI;DI
KP101;CEGis;1300;1300;0P;2241;DI;DI
MM058;CEGis;1300;1300;0P;3073;DI;DI
KS119;CEGis;1300;1300;0P;1711;DI;DI
KS119;CEGis;1300;1300;0P;1860;DI;DI
AB121;CEGis;1300;1300;0P;819;DI;DI
BG073;CEGis;1300;1300;0P;2895;DI;DI
AB107;CEGis;1300;1300;0P;1960;DI;DI
KP101;CEGis;1300;1300;0P;4841;DI;DI
AK092;CEGis;1300;1300;0P;1689;DI;DI
AB121;CEGis;1300;1300;0P;1101;DI;DI
SM118;CEGis;1300;1300;0P;1216;DI;DI
TK090;CEGis;1300;1300;0P;1959;DI;DI
KS119;CEGis;1300;1300;0P;1676;DI;DI
MK081;CEGis;1300;1300;0P;1953;DI;DI
AG122;CEGis;1300;1300;0P;1593;DI;DI
ZP079;CEGis;1300;1300;0P;2338;DI;DI
MF088;CEGis;1300;1300;0P;4180;DI;DI
IP124;CEGis;1300;1300;0P;2032;DI;DI
AK092;CEGis;1300;1300;0P;1221;DI;DI
KM066;CEGis;1300;1300;0P;359;DI;DI
AK070;CEGis;1300;1300;0P;1503;DI;DI
DJ083;CEGis;1300;1300;0P;1039;DI;DI
IK053;CEGis;1300;1300;0P;1401;DI;DI
ND071;CEGis;1300;1300;0P;1953;DI;DI
NM095;CEGis;1300;1300;0P;2042;DI;DI
ND071;CEGis;1300;1300;0P;2142;DI;DI
MG082;CEGis;1300;1300;0P;1608;DI;DI
KP074;CEGis;1300;1300;0P;1286;DI;DI
TR072;CEGis;1800;1800;0P;1958;DI;DI
MF088;CEGis;1800;1800;0P;3637;DI;DI
MM058;CEGis;1800;1800;0P;2041;DI;DI
ZP079;CEGis;1800;1800;0P;2245;DI;DI
AG122;CEGis;1800;1800;0P;3913;DI;DI
TK090;CEGis;1800;1800;0P;2706;DI;DI
AC116;CEGis;1800;1800;0P;3803;DI;DI
MR109;CEGis;1800;1800;0P;2109;DI;DI
TK090;CEGis;1800;1800;0P;2698;DI;DI
DJ083;CEGis;1800;1800;0P;1871;DI;DI
MM110;CEGis;1800;1800;0P;2682;DI;DI
KK098;CEGis;1800;1800;0P;2896;DI;DI
PW112;CEGis;1800;1800;0P;4378;DI;DI
KK098;CEGis;1800;1800;0P;2613;DI;DI
KP104;CEGis;1800;1800;0P;1960;DI;DI
MF088;CEGis;1800;1800;0P;4747;DI;DI
PM106;CEGis;1800;1800;0P;2133;DI;DI
PP102;CEGis;1800;1800;0P;2611;DI;DI
AB123;CEGis;1800;1800;0P;5651;DI;DI
TR072;CEGis;1800;1800;0P;2334;DI;DI
KP101;CEGis;1800;1800;0P;4387;DI;DI
KP074;CEGis;1800;1800;0P;2342;DI;DI
AB123;CEGis;1800;1800;0P;6415;DI;DI
RP125;CEGis;1800;1800;0P;2138;DI;DI
BG073;CEGis;1800;1800;0P;2249;DI;DI
KK098;CEGis;1800;1800;0P;2421;DI;DI
PP102;CEGis;1800;1800;0P;1950;DI;DI
TR072;CEGis;1800;1800;0P;1393;DI;DI
AB107;CEGis;1800;1800;0P;1754;DI;DI
WS113;CEGis;1800;1800;0P;2340;DI;DI
ED100;CEGis;1800;1800;0P;1464;DI;DI
DO084;CEGis;1800;1800;0P;1870;DI;DI
MG097;CEGis;1800;1800;0P;2131;DI;DI
KS119;CEGis;1800;1800;0P;3145;DI;DI
KP074;CEGis;1800;1800;0P;1868;DI;DI
MF088;CEGis;1800;1800;0P;3269;DI;DI
TK090;CEGis;1800;1800;0P;2257;DI;DI
PC077;CEGis;1800;1800;0P;2135;DI;DI
AG126;CEGis;1800;1800;0P;1946;DI;DI
KG067;CEGis;1800;1800;0P;2500;DI;DI
NM095;CEGis;1800;1800;0P;2810;DI;DI
DDR103;CEGis;1800;1800;0P;4545;DI;DI
AG080;CEGis;1800;1800;0P;2131;DI;DI
KP101;CEGis;1800;1800;0P;2990;DI;DI
TK090;CEGis;1800;1800;0P;2138;DI;DI
DJ083;CEGis;1800;1800;0P;1101;DI;DI
PC077;CEGis;1800;1800;0P;2339;DI;DI
AG111;CEGis;1800;1800;0P;2031;DI;DI
PM106;CEGis;1800;1800;0P;2338;DI;DI
MZ078;CEGis;1800;1800;0P;578;DI;DI
PC077;CEGis;1800;1800;0P;2249;DI;DI
MD087;CEGis;1800;1800;0P;2498;DI;DI
IP124;CEGis;1800;1800;0P;2240;DI;DI
DK061;CEGis;1800;1800;0P;2498;DI;DI
KG067;CEGis;1800;1800;0P;2033;DI;DI
AC108;CEGis;1800;1800;0P;2618;DI;DI
WS113;CEGis;1800;1800;0P;2137;DI;DI
DK117;CEGis;1800;1800;0P;1484;DI;DI
JK076;CEGis;1800;1800;0P;2338;DI;DI
KP101;CEGis;1800;1800;0P;5489;DI;DI
MJ077;CEGis;1800;1800;0P;2132;DI;DI
GN042;CEGis;1800;1800;0P;6202;DI;DI
AP089;CEGis;1800;1800;0P;2800;DI;DI
AB121;CEGis;1800;1800;0P;1679;DI;DI
AK092;CEGis;1800;1800;0P;1870;DI;DI
AB123;CEGis;1800;1800;0P;6140;DI;DI
WS113;CEGis;1800;1800;0P;2336;DI;DI
SM118;CEGis;1800;1800;0P;2035;DI;DI
KP074;CEGis;1800;1800;0P;2040;DI;DI
AK092;CEGis;1800;1800;0P;1600;DI;DI
DK117;CEGis;1800;1800;0P;1917;DI;DI
MM096;CEGis;1800;1800;0P;2796;DI;DI
JK076;CEGis;1800;1800;0P;2244;DI;DI
KP104;CEGis;1800;1800;0P;1950;DI;DI
ND071;CEGis;1800;1800;0P;2804;DI;DI
AP089;CEGis;1800;1800;0P;2135;DI;DI
DK117;CEGis;1800;1800;0P;3261;DI;DI
TK090;CEGis;1800;1800;0P;2990;DI;DI
EK086;CEGis;1800;1800;0P;1961;DI;DI
ED100;CEGis;1800;1800;0P;1739;DI;DI
IP124;CEGis;1800;1800;0P;2422;DI;DI
RP125;CEGis;1800;1800;0P;1680;DI;DI
AK070;CEGis;1800;1800;0P;2338;DI;DI
GN042;CEGis;1800;1800;0P;6203;DI;DI
MG097;CEGis;1800;1800;0P;2432;DI;DI
AB121;CEGis;1800;1800;0P;1109;DI;DI
MG082;CEGis;1800;1800;0P;1221;DI;DI
GN042;CEGis;1800;1800;0P;5484;DI;DI
MM110;CEGis;1800;1800;0P;2793;DI;DI
AP089;CEGis;1800;1800;0P;2336;DI;DI
MR109;CEGis;1800;1800;0P;2325;DI;DI
KK047;CEGis;1800;1800;0P;2491;DI;DI
RP125;CEGis;1800;1800;0P;2618;DI;DI
DJ083;CEGis;1800;1800;0P;1738;DI;DI
MD087;CEGis;1800;1800;0P;3265;DI;DI
AK092;CEGis;2300;2300;0P;2426;DI;DI
PW112;CEGis;2300;2300;0P;4282;DI;DI
AK092;CEGis;2300;2300;0P;2506;DI;DI
AG126;CEGis;2300;2300;0P;1747;DI;DI
AK070;CEGis;2300;2300;0P;2426;DI;DI
AW075;CEGis;2300;2300;0P;1690;DI;DI
KM066;CEGis;2300;2300;0P;2621;DI;DI
JK076;CEGis;2300;2300;0P;2615;DI;DI
PP102;CEGis;2300;2300;0P;2617;DI;DI
PW112;CEGis;2300;2300;0P;4830;DI;DI
AB121;CEGis;2300;2300;0P;1925;DI;DI
AG122;CEGis;2300;2300;0P;1858;DI;DI
KP101;CEGis;2300;2300;0P;3542;DI;DI
AK092;CEGis;2300;2300;0P;1857;DI;DI
AC116;CEGis;2300;2300;0P;3909;DI;DI
AK092;CEGis;2300;2300;0P;2339;DI;DI
MR109;CEGis;2300;2300;0P;4368;DI;DI
DO084;CEGis;2300;2300;0P;1683;DI;DI
GN042;CEGis;2300;2300;0P;7778;DI;DI
SM118;CEGis;2300;2300;0P;2494;DI;DI
AG122;CEGis;2300;2300;0P;2616;DI;DI
BG073;CEGis;2300;2300;0P;2894;DI;DI
AB121;CEGis;2300;2300;0P;2692;DI;DI
AS093;CEGis;2300;2300;0P;3264;DI;DI
AC116;CEGis;2300;2300;0P;5489;DI;DI
AB107;CEGis;2300;2300;0P;2980;DI;DI
MG097;CEGis;2300;2300;0P;2799;DI;DI
ED100;CEGis;2300;2300;0P;2413;DI;DI
AG126;CEGis;2300;2300;0P;1601;DI;DI
DK117;CEGis;2300;2300;0P;2496;DI;DI
TK090;CEGis;2300;2300;0P;3077;DI;DI
WS113;CEGis;2300;2300;0P;2614;DI;DI
AB107;CEGis;2300;2300;0P;2036;DI;DI
KP101;CEGis;2300;2300;0P;2703;DI;DI
MZ078;CEGis;2300;2300;0P;1406;DI;DI
SM118;CEGis;2300;2300;0P;2246;DI;DI
ZP079;CEGis;2300;2300;0P;2704;DI;DI
AW075;CEGis;2300;2300;0P;2039;DI;DI
AB123;CEGis;2300;2300;0P;6420;DI;DI
EK086;CEGis;2300;2300;0P;2144;DI;DI
MG097;CEGis;2300;2300;0P;2702;DI;DI
AP089;CEGis;2300;2300;0P;1960;DI;DI
ZP079;CEGis;2300;2300;0P;3805;DI;DI
AB123;CEGis;2300;2300;0P;5956;DI;DI
DK117;CEGis;2300;2300;0P;1747;DI;DI
JK076;CEGis;2300;2300;0P;2434;DI;DI
AB123;CEGis;2300;2300;0P;5028;DI;DI
KS119;CEGis;2300;2300;0P;1930;DI;DI
KK098;CEGis;2300;2300;0P;2332;DI;DI
KS119;CEGis;2300;2300;0P;2131;DI;DI
AC108;CEGis;2300;2300;0P;2436;DI;DI
IP124;CEGis;2300;2300;0P;2241;DI;DI
KG067;CEGis;2300;2300;0P;1684;DI;DI
AP089;CEGis;2300;2300;0P;2602;DI;DI
SM118;CEGis;2300;2300;0P;2134;DI;DI
IP124;CEGis;2300;2300;0P;2693;DI;DI
MG097;CEGis;2300;2300;0P;2437;DI;DI
MG082;CEGis;2300;2300;0P;2709;DI;DI
TK090;CEGis;2300;2300;0P;2898;DI;DI
AG126;CEGis;2300;2300;0P;2340;DI;DI
KK105;CEGis;2300;2300;0P;2984;DI;DI
AG126;CEGis;2300;2300;0P;1858;DI;DI
MJ077;CEGis;2300;2300;0P;2130;DI;DI
KP104;CEGis;2300;2300;0P;2246;DI;DI
AS093;CEGis;2300;2300;0P;3084;DI;DI
ND071;CEGis;2300;2300;0P;2241;DI;DI
TK090;CEGis;2300;2300;0P;2801;DI;DI
EK086;CEGis;2300;2300;0P;2438;DI;DI
ZP079;CEGis;2300;2300;0P;3272;DI;DI
ZP079;CEGis;2300;2300;0P;2796;DI;DI
ND071;CEGis;2300;2300;0P;2434;DI;DI
ED100;CEGis;2300;2300;0P;2308;DI;DI
SM045;CEGis;2300;2300;0P;3798;DI;DI
AJ085;CEGis;2300;2300;0P;2801;DI;DI
NM095;CEGis;2300;2300;0P;2630;DI;DI
DK117;CEGis;2300;2300;0P;2979;DI;DI
PM106;CEGis;2300;2300;0P;2037;DI;DI
OB120;CEGis;2300;2300;0P;2251;DI;DI
AG080;CEGis;2300;2300;0P;1596;DI;DI
AS093;CEGis;2300;2300;0P;3080;DI;DI
PM106;CEGis;2300;2300;0P;2609;DI;DI
IK053;CEGis;2300;2300;0P;2250;DI;DI
TR072;CEGis;2300;2300;0P;2339;DI;DI
DO084;CEGis;2300;2300;0P;2613;DI;DI
AB121;CEGis;2300;2300;0P;1856;DI;DI
AC116;CEGis;2300;2300;0P;4009;DI;DI
AS099;CEGis;2300;2300;0P;4358;DI;DI
BG073;CEGis;2300;2300;0P;2993;DI;DI
MM110;CEGis;2300;2300;0P;3636;DI;DI
DK117;CEGis;2300;2300;0P;2802;DI;DI
AB121;CEGis;2300;2300;0P;2427;DI;DI
KS119;CEGis;2300;2300;0P;3795;DI;DI
BG073;CEGis;2300;2300;0P;2435;DI;DI
KP074;CEGis;2800;2800;0P;2499;DI;DI
TK090;CEGis;2800;2800;0P;3336;DI;DI
AB121;CEGis;2800;2800;0P;2612;DI;DI
AP089;CEGis;2800;2800;0P;3078;DI;DI
KK047;CEGis;2800;2800;0P;2690;DI;DI
GN042;CEGis;2800;2800;0P;4275;DI;DI
AK070;CEGis;2800;2800;0P;2336;DI;DI
EK086;CEGis;2800;2800;0P;3643;DI;DI
RP125;CEGis;2800;2800;0P;2493;DI;DI
SM118;CEGis;2800;2800;0P;2617;DI;DI
TK090;CEGis;2800;2800;0P;2341;DI;DI
KK105;CEGis;2800;2800;0P;3083;DI;DI
WS113;CEGis;2800;2800;0P;3799;DI;DI
AG126;CEGis;2800;2800;0P;2990;DI;DI
DO084;CEGis;2800;2800;0P;2131;DI;DI
AS099;CEGis;2800;2800;0P;3626;DI;DI
NM095;CEGis;2800;2800;0P;3336;DI;DI
ED100;CEGis;2800;2800;0P;2591;DI;DI
GN042;CEGis;2800;2800;0P;6575;DI;DI
AJ085;CEGis;2800;2800;0P;3925;DI;DI
DK061;CEGis;2800;2800;0P;3639;DI;DI
GN042;CEGis;2800;2800;0P;5734;DI;DI
TR072;CEGis;2800;2800;0P;2987;DI;DI
AB107;CEGis;2800;2800;0P;3258;DI;DI
AJ085;CEGis;2800;2800;0P;3132;DI;DI
KP074;CEGis;2800;2800;0P;2503;DI;DI
PW112;CEGis;2800;2800;0P;3634;DI;DI
KG067;CEGis;2800;2800;0P;2890;DI;DI
KP104;CEGis;2800;2800;0P;2898;DI;DI
DK061;CEGis;2800;2800;0P;2131;DI;DI
KP074;CEGis;2800;2800;0P;2497;DI;DI
KK098;CEGis;2800;2800;0P;2245;DI;DI
IP124;CEGis;2800;2800;0P;2330;DI;DI
KS119;CEGis;2800;2800;0P;3077;DI;DI
TK090;CEGis;2800;2800;0P;3081;DI;DI
PM106;CEGis;2800;2800;0P;2617;DI;DI
AB121;CEGis;2800;2800;0P;2489;DI;DI
MM110;CEGis;2800;2800;0P;3398;DI;DI
AG080;CEGis;2800;2800;0P;2129;DI;DI
DO084;CEGis;2800;2800;0P;2623;DI;DI
GN042;CEGis;2800;2800;0P;5824;DI;DI
MZ078;CEGis;2800;2800;0P;941;DI;DI
ND071;CEGis;2800;2800;0P;2986;DI;DI
ND071;CEGis;2800;2800;0P;3138;DI;DI
NM095;CEGis;2800;2800;0P;2810;DI;DI
ZP079;CEGis;2800;2800;0P;2798;DI;DI
AS093;CEGis;2800;2800;0P;3081;DI;DI
BG073;CEGis;2800;2800;0P;3331;DI;DI
ND071;CEGis;2800;2800;0P;3540;DI;DI
ND071;CEGis;2800;2800;0P;2703;DI;DI
IK053;CEGis;2800;2800;0P;2902;DI;DI
TK090;CEGis;2800;2800;0P;3913;DI;DI
KM066;CEGis;2800;2800;0P;2498;DI;DI
PP102;CEGis;2800;2800;0P;2699;DI;DI
DDR103;CEGis;2800;2800;0P;2430;DI;DI
AG080;CEGis;2800;2800;0P;1693;DI;DI
DK061;CEGis;2800;2800;0P;3722;DI;DI
KM066;CEGis;2800;2800;0P;2702;DI;DI
AB123;CEGis;2800;2800;0P;10660;DI;DI
BG073;CEGis;2800;2800;0P;5102;DI;DI
AC116;CEGis;2800;2800;0P;2498;DI;DI
PM106;CEGis;2800;2800;0P;2242;DI;DI
MM110;CEGis;2800;2800;0P;3328;DI;DI
WS113;CEGis;2800;2800;0P;3080;DI;DI
DO084;CEGis;2800;2800;0P;2033;DI;DI
IK053;CEGis;2800;2800;0P;2498;DI;DI
BG073;CEGis;2800;2800;0P;3087;DI;DI
KP101;CEGis;2800;2800;0P;4384;DI;DI
PC077;CEGis;2800;2800;0P;2987;DI;DI
KP104;CEGis;2800;2800;0P;2990;DI;DI
KK047;CEGis;2800;2800;0P;2898;DI;DI
MG082;CEGis;2800;2800;0P;1614;DI;DI
IP124;CEGis;2800;2800;0P;2697;DI;DI
AS099;CEGis;2800;2800;0P;4005;DI;DI
DK117;CEGis;2800;2800;0P;2118;DI;DI
PP102;CEGis;2800;2800;0P;2801;DI;DI
MG082;CEGis;2800;2800;0P;1686;DI;DI
JK076;CEGis;2800;2800;0P;2794;DI;DI
ZP079;CEGis;2800;2800;0P;3414;DI;DI
MM096;CEGis;2800;2800;0P;3337;DI;DI
AG080;CEGis;2800;2800;0P;1288;DI;DI
SM118;CEGis;2800;2800;0P;2893;DI;DI
MG097;CEGis;2800;2800;0P;2617;DI;DI
MZ078;CEGis;2800;2800;0P;1303;DI;DI
AK070;CEGis;2800;2800;0P;3154;DI;DI
JK076;CEGis;2800;2800;0P;2487;DI;DI
KK105;CEGis;2800;2800;0P;3129;DI;DI
PW112;CEG;1300;1300;0P;2336;DI;DI
RP125;CEG;1300;1300;0P;1414;DI;DI
MM096;CEG;1300;1300;0P;1405;DI;DI
DK117;CEG;1300;1300;0P;3803;DI;DI
IP124;CEG;1300;1300;0P;1933;DI;DI
PC077;CEG;1300;1300;0P;1596;DI;DI
AS099;CEG;1300;1300;0P;5559;DI;DI
DK117;CEG;1300;1300;0P;2886;DI;DI
AG126;CEG;1300;1300;0P;1751;DI;DI
DJ083;CEG;1300;1300;0P;2137;DI;DI
KK098;CEG;1300;1300;0P;2023;DI;DI
TK090;CEG;1300;1300;0P;2421;DI;DI
KP074;CEG;1300;1300;0P;1407;DI;DI
AG122;CEG;1300;1300;0P;1673;DI;DI
MM110;CEG;1300;1300;0P;1272;DI;DI
PC077;CEG;1300;1300;0P;2619;DI;DI
AJ085;CEG;1300;1300;0P;1401;DI;DI
AK092;CEG;1300;1300;0P;1698;DI;DI
DO084;CEG;1300;1300;0P;2131;DI;DI
AS099;CEG;1300;1300;0P;3532;DI;DI
AW075;CEG;1300;1300;0P;1751;DI;DI
AB107;CEG;1300;1300;0P;2429;DI;DI
JK076;CEG;1300;1300;0P;2502;DI;DI
KG067;CEG;1300;1300;0P;2035;DI;DI
AJ085;CEG;1300;1300;0P;2251;DI;DI
AK092;CEG;1300;1300;0P;1689;DI;DI
KS119;CEG;1300;1300;0P;2617;DI;DI
KK105;CEG;1300;1300;0P;2439;DI;DI
MJ077;CEG;1300;1300;0P;1097;DI;DI
PW112;CEG;1300;1300;0P;4074;DI;DI
AS093;CEG;1300;1300;0P;1693;DI;DI
DK061;CEG;1300;1300;0P;1033;DI;DI
DK117;CEG;1300;1300;0P;1207;DI;DI
MF088;CEG;1300;1300;0P;2993;DI;DI
SM045;CEG;1300;1300;0P;1925;DI;DI
DO084;CEG;1300;1300;0P;1033;DI;DI
JK076;CEG;1300;1300;0P;1406;DI;DI
SM118;CEG;1300;1300;0P;1027;DI;DI
AB121;CEG;1300;1300;0P;1484;DI;DI
KP101;CEG;1300;1300;0P;3914;DI;DI
KS119;CEG;1300;1300;0P;1021;DI;DI
KK047;CEG;1300;1300;0P;1483;DI;DI
MZ078;CEG;1300;1300;0P;730;DI;DI
AG111;CEG;1300;1300;0P;1485;DI;DI
AS099;CEG;1300;1300;0P;1865;DI;DI
NM095;CEG;1300;1300;0P;1978;DI;DI
AK070;CEG;1300;1300;0P;1689;DI;DI
MR109;CEG;1300;1300;0P;1853;DI;DI
PC077;CEG;1300;1300;0P;1944;DI;DI
SM045;CEG;1300;1300;0P;1745;DI;DI
TK090;CEG;1300;1300;0P;1507;DI;DI
GN042;CEG;1300;1300;0P;4609;DI;DI
KS119;CEG;1300;1300;0P;1214;DI;DI
KK105;CEG;1300;1300;0P;2140;DI;DI
MK081;CEG;1300;1300;0P;1401;DI;DI
AK070;CEG;1300;1300;0P;1590;DI;DI
TK090;CEG;1300;1300;0P;1402;DI;DI
MK081;CEG;1300;1300;0P;1289;DI;DI
AG126;CEG;1300;1300;0P;1598;DI;DI
MM110;CEG;1300;1300;0P;1378;DI;DI
KP104;CEG;1300;1300;0P;1218;DI;DI
KG067;CEG;1300;1300;0P;1213;DI;DI
KM066;CEG;1300;1300;0P;1026;DI;DI
PW112;CEG;1300;1300;0P;1670;DI;DI
TR072;CEG;1300;1300;0P;1393;DI;DI
DO084;CEG;1300;1300;0P;1218;DI;DI
MG097;CEG;1300;1300;0P;1752;DI;DI
AK070;CEG;1300;1300;0P;1282;DI;DI
AG111;CEG;1300;1300;0P;1745;DI;DI
AS093;CEG;1300;1300;0P;1974;DI;DI
AG080;CEG;1300;1300;0P;1034;DI;DI
AK092;CEG;1300;1300;0P;1408;DI;DI
MF088;CEG;1300;1300;0P;2994;DI;DI
AB123;CEG;1300;1300;0P;1752;DI;DI
AC116;CEG;1300;1300;0P;1597;DI;DI
AJ085;CEG;1300;1300;0P;1497;DI;DI
ED100;CEG;1300;1300;0P;1275;DI;DI
JK076;CEG;1300;1300;0P;1491;DI;DI
GN042;CEG;1300;1300;0P;4820;DI;DI
DK061;CEG;1300;1300;0P;2142;DI;DI
AB121;CEG;1300;1300;0P;1272;DI;DI
RP125;CEG;1300;1300;0P;1397;DI;DI
MZ078;CEG;1300;1300;0P;2297;DI;DI
SM118;CEG;1300;1300;0P;1285;DI;DI
MM058;CEG;1300;1300;0P;1105;DI;DI
NM095;CEG;1800;1800;0P;2147;DI;DI
AP089;CEG;1800;1800;0P;2704;DI;DI
JK076;CEG;1800;1800;0P;2038;DI;DI
KK105;CEG;1800;1800;0P;2427;DI;DI
DK117;CEG;1800;1800;0P;3536;DI;DI
MR109;CEG;1800;1800;0P;2236;DI;DI
AJ085;CEG;1800;1800;0P;2434;DI;DI
WS113;CEG;1800;1800;0P;2702;DI;DI
GN042;CEG;1800;1800;0P;6404;DI;DI
DK117;CEG;1800;1800;0P;2615;DI;DI
JK076;CEG;1800;1800;0P;2340;DI;DI
IK053;CEG;1800;1800;0P;2129;DI;DI
TR072;CEG;1800;1800;0P;1860;DI;DI
MM096;CEG;1800;1800;0P;3077;DI;DI
DJ083;CEG;1800;1800;0P;1692;DI;DI
MG097;CEG;1800;1800;0P;1743;DI;DI
DK117;CEG;1800;1800;0P;2333;DI;DI
AB121;CEG;1800;1800;0P;1683;DI;DI
KG067;CEG;1800;1800;0P;3634;DI;DI
MK081;CEG;1800;1800;0P;2614;DI;DI
MM058;CEG;1800;1800;0P;2033;DI;DI
OB120;CEG;1800;1800;0P;1733;DI;DI
AB121;CEG;1800;1800;0P;2417;DI;DI
AG080;CEG;1800;1800;0P;1485;DI;DI
AG111;CEG;1800;1800;0P;2334;DI;DI
AS093;CEG;1800;1800;0P;2257;DI;DI
RP125;CEG;1800;1800;0P;648;DI;DI
AK092;CEG;1800;1800;0P;2045;DI;DI
RP125;CEG;1800;1800;0P;1958;DI;DI
AS093;CEG;1800;1800;0P;2616;DI;DI
PP102;CEG;1800;1800;0P;1488;DI;DI
KK105;CEG;1800;1800;0P;2426;DI;DI
MR109;CEG;1800;1800;0P;1857;DI;DI
DK117;CEG;1800;1800;0P;2134;DI;DI
DJ083;CEG;1800;1800;0P;1500;DI;DI
KP104;CEG;1800;1800;0P;1742;DI;DI
GN042;CEG;1800;1800;0P;4531;DI;DI
DO084;CEG;1800;1800;0P;1826;DI;DI
AB123;CEG;1800;1800;0P;3139;DI;DI
AC116;CEG;1800;1800;0P;3080;DI;DI
EK086;CEG;1800;1800;0P;2038;DI;DI
AJ085;CEG;1800;1800;0P;2501;DI;DI
DDR103;CEG;1800;1800;0P;2699;DI;DI
DDR103;CEG;1800;1800;0P;1858;DI;DI
KK098;CEG;1800;1800;0P;1950;DI;DI
PC077;CEG;1800;1800;0P;2886;DI;DI
MJ077;CEG;1800;1800;0P;1741;DI;DI
TK090;CEG;1800;1800;0P;2898;DI;DI
MG082;CEG;1800;1800;0P;1226;DI;DI
SM118;CEG;1800;1800;0P;2242;DI;DI
MK081;CEG;1800;1800;0P;2432;DI;DI
SM118;CEG;1800;1800;0P;1953;DI;DI
ZP079;CEG;1800;1800;0P;3079;DI;DI
DK061;CEG;1800;1800;0P;1964;DI;DI
KG067;CEG;1800;1800;0P;2326;DI;DI
KK047;CEG;1800;1800;0P;2497;DI;DI
EK086;CEG;1800;1800;0P;2346;DI;DI
KK098;CEG;1800;1800;0P;1678;DI;DI
RP125;CEG;1800;1800;0P;2495;DI;DI
MZ078;CEG;1800;1800;0P;1290;DI;DI
SM118;CEG;1800;1800;0P;2044;DI;DI
NM095;CEG;1800;1800;0P;2037;DI;DI
KK098;CEG;1800;1800;0P;1945;DI;DI
MJ077;CEG;1800;1800;0P;1746;DI;DI
KK098;CEG;1800;1800;0P;2244;DI;DI
DO084;CEG;1800;1800;0P;1961;DI;DI
MK081;CEG;1800;1800;0P;1591;DI;DI
AB121;CEG;1800;1800;0P;2341;DI;DI
MG097;CEG;1800;1800;0P;2034;DI;DI
KK098;CEG;1800;1800;0P;2247;DI;DI
MG097;CEG;1800;1800;0P;2252;DI;DI
IP124;CEG;1800;1800;0P;2420;DI;DI
IK053;CEG;1800;1800;0P;1948;DI;DI
AG111;CEG;1800;1800;0P;1490;DI;DI
RP125;CEG;1800;1800;0P;1958;DI;DI
IK053;CEG;1800;1800;0P;2137;DI;DI
